---,ITEM_SEQ,NAME,MainJobType,SubJobType,TYPE,EQUIPMENT_TYPE,RANK,EQUIPMENT_LEVEL,ITEM_STATUS,SALE_PRICE,USE_PERIOD,TEXT,Model,ItemImage
1,1,테스트 아이템1,SWORDSMAN,NONE,EQUIPMENT,WEAPON,COMMON,1,"(HP=0.000000,HP_ABSORB=0.000000,MP=0.000000,MP_ABSORB=0.000000,STRENGTH=0.000000,INTELLIGENCE=0.000000,MAX_HP=0.000000,MAX_MP=0.000000,ATTACK=0.000000,DEFENCE=0.000000,ATTACK_SPEED=0.000000,MOVE_SPEED=0.000000,CRITICAL_CHANCE=0.000000,CRITICAL_DAMAGE=0.000000,AVOID=0.000000,COOLDOWN_REDUCTION=0.000000)",100,-1,테스트 아이템입니다,None,/Script/Engine.Texture2D'/Game/Resource/ItemIcon/Axe.Axe'
2,2,테스트 아이템2,SWORDSMAN,NONE,CONSUMPTION,NONE,UNCOMMON,10,"(HP=0.000000,HP_ABSORB=0.000000,MP=0.000000,MP_ABSORB=0.000000,STRENGTH=0.000000,INTELLIGENCE=0.000000,MAX_HP=0.000000,MAX_MP=0.000000,ATTACK=0.000000,DEFENCE=0.000000,ATTACK_SPEED=0.000000,MOVE_SPEED=0.000000,CRITICAL_CHANCE=0.000000,CRITICAL_DAMAGE=0.000000,AVOID=0.000000,COOLDOWN_REDUCTION=0.000000)",1000,-1,테스트 아이템입니다2,None,/Script/Engine.Texture2D'/Game/Resource/ItemIcon/Icon_333.Icon_333'
3,3,테스트 아이템3,SWORDSMAN,NONE,ETC,NONE,RARE,10,"(HP=0.000000,HP_ABSORB=0.000000,MP=0.000000,MP_ABSORB=0.000000,STRENGTH=0.000000,INTELLIGENCE=0.000000,MAX_HP=0.000000,MAX_MP=0.000000,ATTACK=0.000000,DEFENCE=0.000000,ATTACK_SPEED=0.000000,MOVE_SPEED=0.000000,CRITICAL_CHANCE=0.000000,CRITICAL_DAMAGE=0.000000,AVOID=0.000000,COOLDOWN_REDUCTION=0.000000)",1000,-1,테스트 아이템입니다3,None,/Script/Engine.Texture2D'/Engine/Tutorial/SubEditors/TutorialAssets/icon_Editor_Preferences_General_40x.icon_Editor_Preferences_General_40x'
4,1,헬멧,SWORDSMAN,NONE,EQUIPMENT,HELMET,COMMON,1,"(HP=0.000000,HP_ABSORB=0.000000,MP=0.000000,MP_ABSORB=0.000000,STRENGTH=0.000000,INTELLIGENCE=0.000000,MAX_HP=0.000000,MAX_MP=0.000000,ATTACK=0.000000,DEFENCE=0.000000,ATTACK_SPEED=0.000000,MOVE_SPEED=0.000000,CRITICAL_CHANCE=0.000000,CRITICAL_DAMAGE=0.000000,AVOID=0.000000,COOLDOWN_REDUCTION=0.000000)",100,-1,테스트 아이템입니다,None,/Script/Engine.Texture2D'/Game/Resource/ItemIcon/Axe.Axe'
5,1,상의,SWORDSMAN,NONE,EQUIPMENT,UPPERBODYARMOR,COMMON,1,"(HP=0.000000,HP_ABSORB=0.000000,MP=0.000000,MP_ABSORB=0.000000,STRENGTH=0.000000,INTELLIGENCE=0.000000,MAX_HP=0.000000,MAX_MP=0.000000,ATTACK=0.000000,DEFENCE=0.000000,ATTACK_SPEED=0.000000,MOVE_SPEED=0.000000,CRITICAL_CHANCE=0.000000,CRITICAL_DAMAGE=0.000000,AVOID=0.000000,COOLDOWN_REDUCTION=0.000000)",100,-1,테스트 아이템입니다,None,/Script/Engine.Texture2D'/Game/Resource/ItemIcon/Axe.Axe'
6,1,하의,SWORDSMAN,NONE,EQUIPMENT,LOWERBODYARMOR,COMMON,1,"(HP=0.000000,HP_ABSORB=0.000000,MP=0.000000,MP_ABSORB=0.000000,STRENGTH=0.000000,INTELLIGENCE=0.000000,MAX_HP=0.000000,MAX_MP=0.000000,ATTACK=0.000000,DEFENCE=0.000000,ATTACK_SPEED=0.000000,MOVE_SPEED=0.000000,CRITICAL_CHANCE=0.000000,CRITICAL_DAMAGE=0.000000,AVOID=0.000000,COOLDOWN_REDUCTION=0.000000)",100,-1,테스트 아이템입니다,None,/Script/Engine.Texture2D'/Game/Resource/ItemIcon/Axe.Axe'
7,1,신발,SWORDSMAN,NONE,EQUIPMENT,SHOES,COMMON,1,"(HP=0.000000,HP_ABSORB=0.000000,MP=0.000000,MP_ABSORB=0.000000,STRENGTH=0.000000,INTELLIGENCE=0.000000,MAX_HP=0.000000,MAX_MP=0.000000,ATTACK=0.000000,DEFENCE=0.000000,ATTACK_SPEED=0.000000,MOVE_SPEED=0.000000,CRITICAL_CHANCE=0.000000,CRITICAL_DAMAGE=0.000000,AVOID=0.000000,COOLDOWN_REDUCTION=0.000000)",100,-1,테스트 아이템입니다,None,/Script/Engine.Texture2D'/Game/Resource/ItemIcon/Axe.Axe'
8,1,장갑,SWORDSMAN,NONE,EQUIPMENT,GLOVES,COMMON,1,"(HP=0.000000,HP_ABSORB=0.000000,MP=0.000000,MP_ABSORB=0.000000,STRENGTH=0.000000,INTELLIGENCE=0.000000,MAX_HP=0.000000,MAX_MP=0.000000,ATTACK=0.000000,DEFENCE=0.000000,ATTACK_SPEED=0.000000,MOVE_SPEED=0.000000,CRITICAL_CHANCE=0.000000,CRITICAL_DAMAGE=0.000000,AVOID=0.000000,COOLDOWN_REDUCTION=0.000000)",100,-1,테스트 아이템입니다,None,/Script/Engine.Texture2D'/Game/Resource/ItemIcon/Axe.Axe'
9,1,목걸이,SWORDSMAN,NONE,EQUIPMENT,NECKLACE,COMMON,1,"(HP=0.000000,HP_ABSORB=0.000000,MP=0.000000,MP_ABSORB=0.000000,STRENGTH=0.000000,INTELLIGENCE=0.000000,MAX_HP=0.000000,MAX_MP=0.000000,ATTACK=0.000000,DEFENCE=0.000000,ATTACK_SPEED=0.000000,MOVE_SPEED=0.000000,CRITICAL_CHANCE=0.000000,CRITICAL_DAMAGE=0.000000,AVOID=0.000000,COOLDOWN_REDUCTION=0.000000)",100,-1,테스트 아이템입니다,None,/Script/Engine.Texture2D'/Game/Resource/ItemIcon/Axe.Axe'
10,1,귀걸이,SWORDSMAN,NONE,EQUIPMENT,EARRING,COMMON,1,"(HP=0.000000,HP_ABSORB=0.000000,MP=0.000000,MP_ABSORB=0.000000,STRENGTH=0.000000,INTELLIGENCE=0.000000,MAX_HP=0.000000,MAX_MP=0.000000,ATTACK=0.000000,DEFENCE=0.000000,ATTACK_SPEED=0.000000,MOVE_SPEED=0.000000,CRITICAL_CHANCE=0.000000,CRITICAL_DAMAGE=0.000000,AVOID=0.000000,COOLDOWN_REDUCTION=0.000000)",100,-1,테스트 아이템입니다,None,/Script/Engine.Texture2D'/Game/Resource/ItemIcon/Axe.Axe'
